topic_id,topic_str,label,top_terms,rank,doc_id,chunk_id,nmf_score,trecho
11,nmf_11,tecnologia / bio / bioeficiente / linha,tecnologia; bio; bioeficiente; linha; produtos; nome; produto; cabeca; palavra; homem; eficiente; bioinovacao; dermotech; natural; seria,3,doc_3a9c3f93806290fb,doc_3a9c3f93806290fb_pp_ch_0032,0.9643,"O Bio Inovação, né, não gostei muito. E o Bio Eficiente, também eu achei... Que assim os nomes pouco puxado sabe não é ruim o nome né mas eu acredito que é isso forçado demais para uma tecnologia que enfim é nova e a gente quer ver uma coisa acho que mais curta né o bioplay por exemplo o nome mais curto né é acho que a calha. Melhor sabe perfeito ótimo tchau Os piores? Você falou que não tinha muito, né? Mas... Não tem. Se precisa escolher, eu... Bioexpert. Bioinnovação, talvez. Tá bom. Pra mim, os dois. Bioeficiente e bioexpert. Bioficiente e bioexperte e tal? O meu é bioinovação e bioeficien"
12,nmf_12,pedido / fusao / lider / avon,pedido; fusao; lider; avon; natura; avo; teve; pontos; ciclo; vender; mudou; minimo; gerente; grupo; aconteceu,1,doc_9da29b5ddacac7d2,doc_9da29b5ddacac7d2_pp_ch_0038,1.0,"O que me mantém é que as pessoas continuam tipo, dando pedido, da mesma forma, dando bom. Da Natura também agora, já me pediu antes também, da Natura, não tem o que eu ganho. Não diminuiu não, meu amor. Não diminuiu. Alguém diminuiu? Com gratidade, assim? Eu não tinha medo, se eu não andava, não. Eu também só tinha medo. Se a gente fizesse essa reunião, fizesse, como imaginava, em seis meses, vai? O que vocês esperariam? Maravilha. Voltou a ser valor. O mínimo é o valor. O que é o maravilhoso da história? Falar que agora tem x pontos mínimos. Pode vir de natura ou da outra pessoa. Você não tem"
12,nmf_12,pedido / fusao / lider / avon,pedido; fusao; lider; avon; natura; avo; teve; pontos; ciclo; vender; mudou; minimo; gerente; grupo; aconteceu,2,doc_ee180b4e719d4d7e,doc_ee180b4e719d4d7e_pp_ch_0036,1.0,"A gente tinha mais reunião. A gente tinha mais fusão. Sim, sim. Antes da quebra foi a fusão. Eu acho que não foi até essa fusão. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Foi a pandemia. Pandemia. O cientismo, né? As reuniões têm muito peso. É a criança que brinde, quem tá com o boleto a"
12,nmf_12,pedido / fusao / lider / avon,pedido; fusao; lider; avon; natura; avo; teve; pontos; ciclo; vender; mudou; minimo; gerente; grupo; aconteceu,3,doc_5e9eef5d22c00bcf,doc_5e9eef5d22c00bcf_pp_ch_0053,0.9673,"Aqueles não falam de pedido de crédito, amor. Aqueles falam aumento de pontuação. A pontuação que é o crédito deles. A gente fecha pedidos por pontos. Entendi. Então, isso está dificultando bastante. Cadastro, pré-pago. Lá na Avon, por exemplo, a Jéssica fez... Eu fiz o cadastro da Jéssica, deu pré-pago. A primeira ela pagou, aí no segundo ciclo, né, campanha, ela já ganhava crédito, vai, 125. Aqui... Não, eu perguntei pra gerente. Eu perguntei pra gerente, ó, se eu fizer esse cadastro, que ela é pré-paga, Como é que vai funcionar? No próximo ciclo ela já vira posse. Mas é o que era o conceito"
13,nmf_13,nome / comecar / papo / vontade,nome; comecar; papo; vontade; bate papo; bate; ouvir; prazer; microfone; conversar; importante; papo comecar; fiquem; prontinho; acionar microfone,1,doc_6446f54127e74c2d,doc_6446f54127e74c2d_pp_ch_0002,1.0,"Sentiu vontade de dizer algo? Basta acionar o microfone e falar sem interromper outra pessoa. Prontinho, nosso bate-papo já vai começar. Oi, gente, boa tarde, prazer, eu sou a [NOME], eu que vou conversar com vocês aqui hoje, obrigada por aceitarem nosso convite. A ideia é fazer bate-papo aqui, pouco do que a gente ouviu aí no vídeo, né? Ouvir pouquinho aí das histórias que cês tem pra dividir com a gente, pouco da opinião de vocês sobre material que eu vou mostrar e é que não tem certo, não tem errado, né? Se uma acha uma coisa, a outra acha a outra, esse é o lugar onde a gente tá interessado"
13,nmf_13,nome / comecar / papo / vontade,nome; comecar; papo; vontade; bate papo; bate; ouvir; prazer; microfone; conversar; importante; papo comecar; fiquem; prontinho; acionar microfone,2,doc_90e2fc7494d27bd2,doc_90e2fc7494d27bd2_pp_ch_0002,1.0,"Sentiu vontade de dizer algo? Basta acionar o microfone e falar sem interromper outra pessoa. Prontinho! Nosso bate-papo já vai começar. Olá, boa tarde. Prazer, eu sou a [NOME]. Eu que vou conversar com vocês. Obrigada por aceitarem o nosso convite de participar dessa pesquisa. A ideia aqui hoje é que a gente vai bater papo pra falar pouquinho aí sobre assuntos que fazem parte do dia a dia da vida de vocês. E eu quero que vocês fiquem muito à vontade pra colocar a opinião de vocês sobre o que a gente vai dividir aqui, vai falar pouco de propaganda. Então vocês fiquem à vontade, tá bom? Para a "
13,nmf_13,nome / comecar / papo / vontade,nome; comecar; papo; vontade; bate papo; bate; ouvir; prazer; microfone; conversar; importante; papo comecar; fiquem; prontinho; acionar microfone,3,doc_76c629289d2e414c,doc_76c629289d2e414c_pp_ch_0002,1.0,"Sentiu vontade de dizer algo? Basta acionar o microfone e falar sem interromper outra pessoa. Prontinho, nosso bate-papo já vai começar. Oi Débora, eu sou a [NOME], então vou falar com você de novo, obrigada por ter topado fazer a pesquisa. Eu também sou do Instituto de Pesquisa da Quira, tá? Então eu não tenho envolvimento direto com o assunto, isso é super importante, tanto para você ficar à vontade para dar a sua opinião, ou seja, realmente é super importante que você diga o que você acha, como você faz. Eu não tenho envolvimento direto com o assunto, eu tô aqui aberta para ouvir tudo que v"
14,nmf_14,acido / acido hialuronico / hialuronico / amazonia,acido; acido hialuronico; hialuronico; amazonia; propaganda; tucuma; producao; pele amazonia; producao acido; hidratacao; pele; corpo; natureza; sentisse; sentisse pele,1,doc_8155ca024e437eda,doc_8155ca024e437eda_pp_ch_0023,0.9877,"Antinais. Tá bom. Agora eu vou mostrar outro, tá? Pra gente conversar sobre... Todo mundo vendo? E se você sentisse na pele o que a Amazônia faz por você? Estimule a produção de ácido hialurônico no corpo com a potente hidratação anti-sinais de Natura Eco de Tucumã. Passar de novo. E se você sentisse na pele o que a Amazônia faz por você? Estimule a produção de ácido hialurônico no corpo com a potente hidratação anticinais Natura Eco Estucumã. E aí, o que vocês acharam desse? O que vocês entenderam desse daí? É que a Natura resolveu absorver plantas medicinais amazônicas absorver os benefícios"
14,nmf_14,acido / acido hialuronico / hialuronico / amazonia,acido; acido hialuronico; hialuronico; amazonia; propaganda; tucuma; producao; pele amazonia; producao acido; hidratacao; pele; corpo; natureza; sentisse; sentisse pele,2,doc_9ce05b13f8828060,doc_9ce05b13f8828060_pp_ch_0004,0.9789,"Muito bem. Só falta da Bruna, achou aí Bruna? Ótimo, então vamos lá. Tá todo mundo vendo? Sim? Se não estiver ouvindo, me avisa, tá? Dá grito aí no meio. E se você sentir isso na pele, o que a Amazônia faz por você? Estimule a produção de ácido hialurônico no corpo. Com a potente hidratação anti-sinais de Natura Eco de Tucumã. Passar de novo. E se você sentir isso na pele, o que a Amazônia faz por você? Estimula a produção de ácido hialurônico no corpo, com a potente hidratação antissinais Natura Eco Estucumano. E aí, vocês vão responder pra mim essas perguntas, tá? Lá no chat. Primeiro, quais"
14,nmf_14,acido / acido hialuronico / hialuronico / amazonia,acido; acido hialuronico; hialuronico; amazonia; propaganda; tucuma; producao; pele amazonia; producao acido; hidratacao; pele; corpo; natureza; sentisse; sentisse pele,3,doc_8155ca024e437eda,doc_8155ca024e437eda_pp_ch_0026,0.9516,"Eu vou passar mais uma vez. E se você sentisse na pele o que a Amazônia faz por você? Estimule a produção de ácido hialurônico no corpo com a potente hidratação anti-sinais de Natura Eco Estucumã. E aí? Esse daqui, vocês viram que ele também começa com uma pergunta. Sim, e me chamam a atenção. E se você sentisse na pele o que a Amazonas pode fazer por você? Assim como a Amazonas já é Estado com grande ênfase, eles tentaram assimilar com a eficiência do produto, que é a produção do ácido nosso corpo. Então, é comercial muito inteligente, porque... Ele correlaciona a eficiência do produto com a "
15,nmf_15,vegano / bebe / produto / produto vegano,vegano; bebe; produto; produto vegano; questao; frescor; natural; mar; ambiente; massagem; base; mergulho; cuidado; barra; sensacao,1,doc_2da4b14181ace08e,doc_2da4b14181ace08e_pp_ch_0039,0.9929,"Ou que na fragrância dele lembra alguma coisa de praia, esse lance de frescor. Porque tem notas aromáticas cítricas e acosas, né? Então pode puxar para remeter o cheiro. Que nem assim, às vezes eu entro naquela marca de biquíni, a Blumen, a loja tem cheiro de protetor solar. Então assim, quando eu vejo alguma coisa nesse sentido de mergulhar e sentir o frescor de mergulho, então pode ser que o cheiro remeta a alguma coisa assim de praia, né? Alguma coisa ou ligada... Porque a água não tem cheiro. Então assim, que pega assim, ainda ligada quando falar oceano, pra mim eu penso no cheiro de praia"
15,nmf_15,vegano / bebe / produto / produto vegano,vegano; bebe; produto; produto vegano; questao; frescor; natural; mar; ambiente; massagem; base; mergulho; cuidado; barra; sensacao,2,doc_363006063b67a33f,doc_363006063b67a33f_pp_ch_0034,0.9896,"Tá, Denise. Era justamente isso que eu ia falar, que quando a gente, quando lançou ele, aí as meninas ligavam, Denise, por que não veio com plástico? Você tirou, alguém tirou, quando eu vendia pra uma outra pessoa, né? Eu falei assim, não, minha mãe contava a história, né? E assim, também as propagandas que passam na televisão ensinam bastante pra elas. Sustentabilidade, frescor, É perfume maravilhoso. E essa pergunta, né? E se você pudesse sentir o frescor de mergulho a qualquer momento? Eva, o que transmite pra você essa pergunta? Transmite que ele fala que a a fragrância em si ela remete qu"
15,nmf_15,vegano / bebe / produto / produto vegano,vegano; bebe; produto; produto vegano; questao; frescor; natural; mar; ambiente; massagem; base; mergulho; cuidado; barra; sensacao,3,doc_20c080a645217030,doc_20c080a645217030_pp_ch_0055,0.9799,"E uma imagem simples. Ela é simples, mas objetiva. Fernanda, o que essa pergunta convide para você? Você entende essa pergunta? A pergunta em si é se... Porque, assim, isso remete muito ao frescor, né? Tipo assim, diálogo de calor. Então, assim, às vezes você passa algum perfume muito doce, alguma coisa muito doce na pele, você acaba sentindo... Eu não gosto. Então, assim, essa pergunta remete, assim, ao oceano. Quando você tá no mar, no rio ou em qualquer outro lugar, você sente esse frescor. Então, eu acho que é isso que eles querem fazer, que é utilizar o produto. Naili, essa pergunta. Eu a"
16,nmf_16,amanha / dormir / noite / deixasse amanha,amanha; dormir; noite; deixasse amanha; deixasse; cuida; dormir melhor; enquanto cuida; cuida pele; melhor enquanto; enquanto; ritual; cuidar; natura noite; ritual dormir,1,doc_8155ca024e437eda,doc_8155ca024e437eda_pp_ch_0016,1.0,"Então, assim, eu não acho que... Adriana, o que você achou dessa frase? Quando aparece o faz, bem estar faz bem, e aí vira bem estar bem. É que quando é como assim, você tá bem, seu corpo flui melhor, flui de uma forma mais leve, você consegue se enrolar com mais facilidade, né? Quando você tá mais leve, você produz melhor, você produz de uma forma mais leve também, não tão preocupada. É isso. Eu vou passar agora uma outra propaganda e a gente vai conversar pouquinho sobre ela, tá? Vou passar duas vezes. E se você não se deixasse pra amanhã? Experimente ritual pra dormir melhor enquanto cuida "
16,nmf_16,amanha / dormir / noite / deixasse amanha,amanha; dormir; noite; deixasse amanha; deixasse; cuida; dormir melhor; enquanto cuida; cuida pele; melhor enquanto; enquanto; ritual; cuidar; natura noite; ritual dormir,2,doc_9ce05b13f8828060,doc_9ce05b13f8828060_pp_ch_0023,0.9992,"Letícia, o que transmite pra você bem estar faz bem estar bem? Transmite a mesma coisa? Como que é? Eu acho que é todo conjunto, né? Se a gente tá bem consigo mesmo, assim, eu tô bem comigo mesmo. Tudo tá bem ao meu redor. Pode não estar tão bem assim, mas eu consigo ver de outro prisma as questões ao meu redor. Então, o bem-estar faz bem a gente estar sentindo bem com a gente e também faz bem que a gente consegue ajudar. Eu tô super bem, então eu tô de uma pessoa do meu lado que não tá tão bem. Então, como eu tô bem, eu consigo passar pra ela a minha visão do mundo por eu estar bem e tentar a"
16,nmf_16,amanha / dormir / noite / deixasse amanha,amanha; dormir; noite; deixasse amanha; deixasse; cuida; dormir melhor; enquanto cuida; cuida pele; melhor enquanto; enquanto; ritual; cuidar; natura noite; ritual dormir,3,doc_2da4b14181ace08e,doc_2da4b14181ace08e_pp_ch_0014,0.9988,"De fazer atitudes pra isso, pra você tá bem, né? Não adianta você, tipo, quer ficar bem se você não tem a atitude. Eu quero ficar bem, mas a pessoa ficou o dia inteiro chorando, então acho que vai manter nesse estado, né? Na verdade, o sentido que eu entendo aí também é tipo, bem-estar faz, tipo, é positivo. É como se dissesse assim, o bem-estar é positivo, algo positivo. E faz bem estar bem, não sabe? Faz bem estar bem. Entendi. Vamos lá. Vou mostrar uma outra propaganda, tá? E a gente vai conversar pouquinho sobre ela. E se você não se deixasse pra amanhã? Experimente o ritual para dormir me"
17,nmf_17,kit / caixa / kits / sacola,kit; caixa; kits; sacola; presente; vem; embalagem; cliente; sabonete; presentes; caixas; entrega; montar; preco; dentro,1,doc_ee8d1372d1a391aa,doc_ee8d1372d1a391aa_pp_ch_0016,0.9579,"Então, veio lá, quando eu peguei o kit, veio o perfume, creminho de mão e veio mais a bolsa. A bolsinha é uma bolsa pequena, rosa. Então, as meninas querem o kit por conta da bolsa. Aí as meninas falam assim, não sei por que não tá vindo pra consultora. A gente pode desmembrar, mas não vai vir a bolsa. Então, quando esse kit fechado, por exemplo, a Ciagi, uma vez, veio o kit, quando teve o lançamento de shampoo e condicionador e máscara, veio uma necessaire. Então o pessoal acaba comprando porque, pô, olha, tá vindo uma necessaire. Acaba agradando a mais. Quando vem esses kits fechados, aí ess"
17,nmf_17,kit / caixa / kits / sacola,kit; caixa; kits; sacola; presente; vem; embalagem; cliente; sabonete; presentes; caixas; entrega; montar; preco; dentro,2,doc_de596209415382fe,doc_de596209415382fe_pp_ch_0011,0.9318,"Sim. Aí eu monto kit de hidratante, com sabonete. Eu quero kit mais ou menos que agrada. Eu falei, não tem como não agradar. Sabonete e hidratante. Não tem. Aí já monto, coloco batom nude que agrada a todos. Por mais que a pessoa não use batom, mas em algum momento ela vai. Então, nude... Então, nesses momentos, elas compram mais kits? Ou elas compram produtos separados? Não, fala pra montar kit. E eu monto. Eu sempre tenho caixa, sempre tenho embalagens aqui, aí eu monto. Ou mesmo na sacolinha, você faz a embalagem bonitinha. E como você costuma fazer essa embalagem, Maria? Com o próprio pape"
17,nmf_17,kit / caixa / kits / sacola,kit; caixa; kits; sacola; presente; vem; embalagem; cliente; sabonete; presentes; caixas; entrega; montar; preco; dentro,3,doc_f17a8b4e6ffe8287,doc_f17a8b4e6ffe8287_pp_ch_0011,0.8965,"Criam, criam. Os clientes, eles olham ali uma caixa, eles já acham o máximo. Principalmente quando eles não têm que pagar a parte. Eu não sei se pode comparar uma e outra, mas vamos supor. A Boticário, é assim... Eu vendo para aquele cliente que procura. Boticário praticamente não faz pronta entrega, porque tem loja, né? É diferente. Mas vamos supor, se a cliente fala assim pra mim, ai Ariane, eu queria montar kit, eu não queria aquele kit pronto. Só a caixa ela paga 10 reais. Então é assim. Porque fica mais bonito, né, presente ali numa caixa. E o da Natura vem caixa, vem papel de seda. Ou às"
