projeto,tipo,rank,sentimento_lexico,score_lexico,confianca_lexico,chunk_id,trecho
radiosa,mais_positivo,1,POS,19,1.0,doc_b71f944ee9bec4b0_pp_ch_0045,"Falamos de tudo pouco. Falamos de tudo pouco, foi muito boa essa troca, eu quero agradecer demais, meninas, a presença de vocês aqui hoje, as falas, e quero desejar ótimo dia para vocês, tá bom? Ótimo fim de dia, uma ótima semana. Obrigadão, meninas. Obrigada, obrigada pela oportunidade, obrigada por nos ouvir, a nossa opinião. Foi ótimo, foi ótimo ouvir, que bom que vocês falaram e fiquem bem, me"
radiosa,mais_positivo,2,POS,15,1.0,doc_a1d2b9d6eaf7c8a9_pp_ch_0010,"Assim, quem eu acho bonita mesmo, uma negra, agora me fugiu o nome. Pode ser negra ou não, tá? O tema é livre também. A Juliana Paz. Juliana Paz. Me inspira muito, sabe? Por quê? Assim, porque é uma pessoa bonita. Como é que se diz? Fica tranquila, quando vier você me fala. Meninas e vocês, Andressa, quem que te inspira, quem que é referência de beleza para vocês e por quê? Tem muitas atrizes conh"
radiosa,mais_positivo,3,POS,14,1.0,doc_c3440e03873d8788_pp_ch_0063,"Em todos eles, em todos eles. Eu acho que deu para entender. Deixa eu ver só se tem mais alguma perguntinha para terminar, senão eu vou liberar vocês. Só ver aqui, só checar. Tá, eu acho que não. Deixa eu ver aqui, meu grupito. Deixa eu ver, pode encerrar. Então, beleza. Meninas, muito obrigada por vocês terem ficado comigo, terem aí feito as tarefas, tá bom? Talvez se tiver coisa aí para completa"
radiosa,mais_negativo,1,NEG,-5,0.556,doc_bc29e08f3450ea98_pp_ch_0066,"Pensa em vocês, em pessoa, que é difícil separar o físico do jurídico, mas era mais para pensar em vocês como mulheres, pessoas da vida real, que talvez nem conhecessem essas marcas. Fazendo de novo referência à mídia, que para mim foi péssimo o que eles fizeram, porque até então eles vinham focando em único produto hidratante, E aí acharam por bem usar produto específico pra pele negra, que até e"
radiosa,mais_negativo,2,NEG,-3,0.333,doc_c3440e03873d8788_pp_ch_0024,"Agora, quando você fala pele mista, o que é a pele mista? Me fala quais são as diferenças, quais partes do corpo tem diferença. Tem, em alguns pontos é mais oleoso, entre os seios é mais oleoso, o cotovelo é mais ressecado, o joelho é mais ressecado. Então, entre os seios é mais oleoso, mais ressecado. Quais são as partes mais ressecadas, então? Cotovelo e joelho são os mais ressecados. Tá. E daí,"
radiosa,mais_negativo,3,NEG,-2,1.0,doc_bc29e08f3450ea98_pp_ch_0062,"E se todo dia, só perguntando para a Diana também, se todo dia lançasse uma linha de cuidados para pele negra, o que você acharia? Ia ter uma para cada tipo de pele negra? Essa é a pergunta. Pele seca, pele mista, pele retinta, entendeu? Teria que ter uma linha então. Mais abrangente para despertar a curiosidade, como eu comentei com a Sheila, eu usaria para saber qual que é o... Como que eles che"
rosacea,mais_positivo,1,POS,14,1.0,doc_8155ca024e437eda_pp_ch_0002,"Bom dia. Tá saindo o meu som, tá bom? Tá, tá ok. Então, me chamo [NOME], e o que é que vieram pra falar mesmo? Quando você fala, conta pouquinho de você. Eu sou a [NOME], é isso, eu falo de Porto Alegre, e é isso, tenho [IDADE] anos, sou mãe de duas crianças, de 4 e de [IDADE] anos. Acho que esse é o mais importante da minha vida. Oh, Ana, se você pudesse se descrever em uma palavra, que palavra v"
rosacea,mais_positivo,2,POS,12,1.0,doc_c81de68b7ac9189d_pp_ch_0004,"Posso começar? Eu entendi que seria céron da natura, que ele é apresentado. Eu achei que o contraste do vídeo eu gostei, porque tipo, marrom, verde, deu até a impressão da Páscoa, assim. Deu uma semelhança de Páscoa e também da natura própria. Gostei da comparação de jovem e idoso. Tipo, uma mulher tinha [IDADE] anos, outra tinha 30. E deu aquela comparação que serve para todas as idades e todos o"
rosacea,mais_positivo,3,POS,12,1.0,doc_c81de68b7ac9189d_pp_ch_0050,"Bom, pra mim, agregou muito a questão da natura nas propagandas contar a sua história e contar com que ela se preocupa. A natura se preocupa muito com a natureza, com o cuidado da nossa biodiversidade, por isso eles extraem coisas das nossas riquezas, do que a gente tem de melhor, dentro da natureza e contando o que a Raíssa falou, que eu achei super interessante, que ela comentou a história, porq"
rosacea,mais_negativo,1,NEG,-3,1.0,doc_8155ca024e437eda_pp_ch_0038,"Eu entendo que é isso, é o contato, assim, é o acolhimento, é a demonstração de amor no momento que tu tá ali fazendo uma massagem no bebê. Então, e realmente é tudo que o bebê precisa nos primeiros momentos da vida, assim, é sentir acolhido, sentir amado. E eu acho que esse... Nesse momento assim, passa muito isso pra ele. Luciana, o que transmitiu pra você essa pergunta? Acho que a Luciana travo"
rosacea,mais_negativo,2,NEG,-2,0.5,doc_ace5895fe185da65_pp_ch_0030,"Mim, eu entendi uma inovação na parte de cosméticos da linha do corpo, né? Porque geralmente os cremes que eu já usei da Natura, eu não lembro de nenhum produzir nada de colágeno. Eu sei que você passa pra manter o seu colágeno. Agora, o ácido laurônico, ele mantém, na verdade, o colágeno e ele estibula a sua pele, né? A rejuvenescer. Então assim, é mais pontinho pra você comprar e fora que quando"
rosacea,mais_negativo,3,NEG,-2,1.0,doc_8155ca024e437eda_pp_ch_0039,"Eu estou vendo aqui, é porque apareceu pra mim agora. Mais difícil por quê, Flávia? Porque as outras imagens deixavam bem explícitas o queria passar. Não sei, talvez ele queria passar a felicidade das pessoas de receberem algum presente. Não sei. O que tá difícil pra você entender aí, Flávia? Mostra pra mim. Não sei, não sei. Eu não sei exatamente o que é que essa imagem aí quer passar. Eu não con"
